DATAFLOW,COLLECTION,REF_AREA,FREQ,SURVEY,MEASURE,SEX,TIME_PERIOD,OBS_VALUE,S3,T3,T12,I13,R1,S4,T33,S8,T5,S14,S7,I11,T2,S5,OBS_STATUS,UNIT_MEASURE_TYPE,UNIT_MEASURE,UNIT_MULT,FREE_TEXT_NOTE,DECIMALS,SOURCE,INDICATOR
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2009,20.75,,,145.0,,2384.0,,,,,,,264.0,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2010,20.82,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2011,20.56,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2012,19.72,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2013,21.81,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2014,21.1,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2015,19.97,,,145.0,,2384.0,,,,,,,264.0,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2016,18.32,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2017,20.01,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
ILO:DF_YI_ALL_EMP_PTER_SEX_RT(1.0),YI,LUX,A,2261,EMP_PTER_RT,SEX_M,2018,21.15,,,145.0,,2384.0,,,,,,,,,,,RT,PT,0,,1,BA,EMP_PTER_SEX_RT
